match_id,over_no,runs_this_over,wickets_this_over,cumulative_runs,cumulative_wickets,run_rate,balls_remaining,final_score
211028,1,4,0,4,0,4.0,114,179
211028,2,2,0,6,0,3.0,108,179
211028,3,14,0,20,0,6.666666666666667,102,179
211028,4,9,1,29,1,7.25,96,179
211028,5,14,0,43,1,8.6,90,179
211028,6,7,1,50,2,8.333333333333334,84,179
211028,7,8,0,58,2,8.285714285714286,78,179
211028,8,10,0,68,2,8.5,72,179
211028,9,14,0,82,2,9.11111111111111,66,179
211028,10,11,0,93,2,9.3,60,179
211028,11,8,1,101,3,9.181818181818182,54,179
211028,12,4,1,105,4,8.75,48,179
211028,13,4,0,109,4,8.384615384615385,42,179
211028,14,2,1,111,5,7.928571428571429,36,179
211028,15,13,0,124,5,8.266666666666667,30,179
211028,16,8,0,132,5,8.25,24,179
211028,17,17,0,149,5,8.764705882352942,18,179
211028,18,8,0,157,5,8.722222222222221,12,179
211028,19,10,1,167,6,8.789473684210526,6,179
211028,20,12,2,179,8,8.95,0,179
211048,1,10,1,10,1,10.0,114,214
211048,2,12,1,22,2,11.0,108,214
211048,3,4,0,26,2,8.666666666666666,102,214
211048,4,20,1,46,3,11.5,96,214
211048,5,8,0,54,3,10.8,90,214
211048,6,4,1,58,4,9.666666666666666,84,214
211048,7,6,0,64,4,9.142857142857142,78,214
211048,8,8,0,72,4,9.0,72,214
211048,9,7,0,79,4,8.777777777777779,66,214
211048,10,10,0,89,4,8.9,60,214
211048,11,5,0,94,4,8.545454545454545,54,214
211048,12,15,0,109,4,9.083333333333334,48,214
211048,13,8,0,117,4,9.0,42,214
211048,14,17,0,134,4,9.571428571428571,36,214
211048,15,7,1,141,5,9.4,30,214
211048,16,6,0,147,5,9.1875,24,214
211048,17,8,0,155,5,9.117647058823529,18,214
211048,18,15,0,170,5,9.444444444444445,12,214
211048,19,30,0,200,5,10.526315789473685,6,214
211048,20,14,0,214,5,10.7,0,214
222678,1,12,0,12,0,12.0,114,133
222678,2,12,0,24,0,12.0,108,133
222678,3,7,0,31,0,10.333333333333334,102,133
222678,4,3,0,34,0,8.5,96,133
222678,5,14,0,48,0,9.6,90,133
222678,6,11,0,59,0,9.833333333333334,84,133
222678,7,7,0,66,0,9.428571428571429,78,133
222678,8,12,0,78,0,9.75,72,133
222678,9,4,0,82,0,9.11111111111111,66,133
222678,10,6,1,88,1,8.8,60,133
222678,11,2,1,90,2,8.181818181818182,54,133
222678,12,9,0,99,2,8.25,48,133
222678,13,4,1,103,3,7.923076923076923,42,133
222678,14,3,1,106,4,7.571428571428571,36,133
222678,15,3,1,109,5,7.266666666666667,30,133
222678,16,3,1,112,6,7.0,24,133
222678,17,7,1,119,7,7.0,18,133
222678,18,2,1,121,8,6.722222222222222,12,133
222678,19,8,1,129,9,6.7894736842105265,6,133
222678,20,4,1,133,10,6.65,0,133
225263,1,3,0,3,0,3.0,114,144
225263,2,6,0,9,0,4.5,108,144
225263,3,13,0,22,0,7.333333333333333,102,144
225263,4,11,0,33,0,8.25,96,144
225263,5,6,1,39,1,7.8,90,144
225263,6,1,2,40,3,6.666666666666667,84,144
225263,7,4,0,44,3,6.285714285714286,78,144
225263,8,6,0,50,3,6.25,72,144
225263,9,7,1,57,4,6.333333333333333,66,144
225263,10,3,0,60,4,6.0,60,144
225263,11,10,0,70,4,6.363636363636363,54,144
225263,12,12,0,82,4,6.833333333333333,48,144
225263,13,5,0,87,4,6.6923076923076925,42,144
225263,14,9,0,96,4,6.857142857142857,36,144
225263,15,5,1,101,5,6.733333333333333,30,144
225263,16,5,0,106,5,6.625,24,144
225263,17,8,1,114,6,6.705882352941177,18,144
225263,18,5,0,119,6,6.611111111111111,12,144
225263,19,11,0,130,6,6.842105263157895,6,144
225263,20,14,1,144,7,7.2,0,144
225271,1,5,0,5,0,5.0,114,163
225271,2,5,0,10,0,5.0,108,163
225271,3,15,0,25,0,8.333333333333334,102,163
225271,4,8,0,33,0,8.25,96,163
225271,5,13,0,46,0,9.2,90,163
225271,6,12,0,58,0,9.666666666666666,84,163
225271,7,10,0,68,0,9.714285714285714,78,163
225271,8,7,1,75,1,9.375,72,163
225271,9,7,1,82,2,9.11111111111111,66,163
225271,10,2,1,84,3,8.4,60,163
225271,11,11,1,95,4,8.636363636363637,54,163
225271,12,7,1,102,5,8.5,48,163
225271,13,9,0,111,5,8.538461538461538,42,163
225271,14,7,1,118,6,8.428571428571429,36,163
225271,15,8,0,126,6,8.4,30,163
225271,16,11,1,137,7,8.5625,24,163
225271,17,4,0,141,7,8.294117647058824,18,163
225271,18,10,0,151,7,8.38888888888889,12,163
225271,19,7,1,158,8,8.31578947368421,6,163
225271,20,5,2,163,10,8.15,0,163
226374,1,5,0,5,0,5.0,114,209
226374,2,6,0,11,0,5.5,108,209
226374,3,12,0,23,0,7.666666666666667,102,209
226374,4,8,0,31,0,7.75,96,209
226374,5,8,0,39,0,7.8,90,209
226374,6,11,0,50,0,8.333333333333334,84,209
226374,7,9,1,59,1,8.428571428571429,78,209
226374,8,5,0,64,1,8.0,72,209
226374,9,13,0,77,1,8.555555555555555,66,209
226374,10,15,0,92,1,9.2,60,209
226374,11,7,0,99,1,9.0,54,209
226374,12,11,1,110,2,9.166666666666666,48,209
226374,13,17,0,127,2,9.76923076923077,42,209
226374,14,9,0,136,2,9.714285714285714,36,209
226374,15,9,0,145,2,9.666666666666666,30,209
226374,16,14,0,159,2,9.9375,24,209
226374,17,6,0,165,2,9.705882352941176,18,209
226374,18,9,0,174,2,9.666666666666666,12,209
226374,19,13,0,187,2,9.842105263157896,6,209
226374,20,22,1,209,3,10.45,0,209
237242,1,6,0,6,0,6.0,114,126
237242,2,2,0,8,0,4.0,108,126
237242,3,5,0,13,0,4.333333333333333,102,126
237242,4,1,1,14,1,3.5,96,126
237242,5,7,0,21,1,4.2,90,126
237242,6,2,0,23,1,3.8333333333333335,84,126
237242,7,3,0,26,1,3.7142857142857144,78,126
237242,8,13,1,39,2,4.875,72,126
237242,9,5,1,44,3,4.888888888888889,66,126
237242,10,10,1,54,4,5.4,60,126
237242,11,5,0,59,4,5.363636363636363,54,126
237242,12,6,0,65,4,5.416666666666667,48,126
237242,13,8,0,73,4,5.615384615384615,42,126
237242,14,6,1,79,5,5.642857142857143,36,126
237242,15,2,0,81,5,5.4,30,126
237242,16,3,0,84,5,5.25,24,126
237242,17,9,0,93,5,5.470588235294118,18,126
237242,18,11,0,104,5,5.777777777777778,12,126
237242,19,11,1,115,6,6.052631578947368,6,126
237242,20,11,1,126,7,6.3,0,126
238195,1,6,0,6,0,6.0,114,201
238195,2,9,0,15,0,7.5,108,201
238195,3,5,0,20,0,6.666666666666667,102,201
238195,4,11,0,31,0,7.75,96,201
238195,5,9,0,40,0,8.0,90,201
238195,6,8,1,48,1,8.0,84,201
238195,7,11,0,59,1,8.428571428571429,78,201
238195,8,6,0,65,1,8.125,72,201
238195,9,4,0,69,1,7.666666666666667,66,201
238195,10,14,0,83,1,8.3,60,201
238195,11,7,0,90,1,8.181818181818182,54,201
238195,12,15,0,105,1,8.75,48,201
238195,13,7,0,112,1,8.615384615384615,42,201
238195,14,15,0,127,1,9.071428571428571,36,201
238195,15,9,0,136,1,9.066666666666666,30,201
238195,16,23,0,159,1,9.9375,24,201
238195,17,11,1,170,2,10.0,18,201
238195,18,7,1,177,3,9.833333333333334,12,201
238195,19,7,0,184,3,9.68421052631579,6,201
238195,20,17,1,201,4,10.05,0,201
249227,1,6,0,6,0,6.0,114,221
249227,2,14,0,20,0,10.0,108,221
249227,3,2,0,22,0,7.333333333333333,102,221
249227,4,12,1,34,1,8.5,96,221
249227,5,18,0,52,1,10.4,90,221
249227,6,21,0,73,1,12.166666666666666,84,221
249227,7,10,0,83,1,11.857142857142858,78,221
249227,8,14,0,97,1,12.125,72,221
249227,9,8,1,105,2,11.666666666666666,66,221
249227,10,12,0,117,2,11.7,60,221
249227,11,12,1,129,3,11.727272727272727,54,221
249227,12,10,0,139,3,11.583333333333334,48,221
249227,13,10,0,149,3,11.461538461538462,42,221
249227,14,4,1,153,4,10.928571428571429,36,221
249227,15,4,1,157,5,10.466666666666667,30,221
249227,16,11,0,168,5,10.5,24,221
249227,17,14,0,182,5,10.705882352941176,18,221
249227,18,12,0,194,5,10.777777777777779,12,221
249227,19,10,0,204,5,10.736842105263158,6,221
249227,20,17,0,221,5,11.05,0,221
251487,1,12,0,12,0,12.0,114,162
251487,2,17,0,29,0,14.5,108,162
251487,3,4,0,33,0,11.0,102,162
251487,4,16,0,49,0,12.25,96,162
251487,5,10,0,59,0,11.8,90,162
251487,6,7,0,66,0,11.0,84,162
251487,7,14,0,80,0,11.428571428571429,78,162
251487,8,2,1,82,1,10.25,72,162
251487,9,8,1,90,2,10.0,66,162
251487,10,11,0,101,2,10.1,60,162
251487,11,5,0,106,2,9.636363636363637,54,162
251487,12,2,1,108,3,9.0,48,162
251487,13,14,0,122,3,9.384615384615385,42,162
251487,14,8,0,130,3,9.285714285714286,36,162
251487,15,2,1,132,4,8.8,30,162
251487,16,3,1,135,5,8.4375,24,162
251487,17,8,0,143,5,8.411764705882353,18,162
251487,18,9,1,152,6,8.444444444444445,12,162
251487,19,4,1,156,7,8.210526315789474,6,162
251487,20,6,1,162,8,8.1,0,162
251488,1,9,1,9,1,9.0,114,115
251488,2,8,0,17,1,8.5,108,115
251488,3,7,1,24,2,8.0,102,115
251488,4,2,1,26,3,6.5,96,115
251488,5,4,0,30,3,6.0,90,115
251488,6,10,0,40,3,6.666666666666667,84,115
251488,7,4,1,44,4,6.285714285714286,78,115
251488,8,7,0,51,4,6.375,72,115
251488,9,1,1,52,5,5.777777777777778,66,115
251488,10,3,0,55,5,5.5,60,115
251488,11,5,1,60,6,5.454545454545454,54,115
251488,12,1,1,61,7,5.083333333333333,48,115
251488,13,5,0,66,7,5.076923076923077,42,115
251488,14,5,0,71,7,5.071428571428571,36,115
251488,15,9,1,80,8,5.333333333333333,30,115
251488,16,20,0,100,8,6.25,24,115
251488,17,8,0,108,8,6.352941176470588,18,115
251488,18,7,1,115,9,6.388888888888889,12,115
251488,19,0,1,115,10,6.052631578947368,6,115
255954,1,2,0,2,0,2.0,114,126
255954,2,13,0,15,0,7.5,108,126
255954,3,4,1,19,1,6.333333333333333,102,126
255954,4,5,0,24,1,6.0,96,126
255954,5,7,0,31,1,6.2,90,126
255954,6,0,1,31,2,5.166666666666667,84,126
255954,7,3,1,34,3,4.857142857142857,78,126
255954,8,7,1,41,4,5.125,72,126
255954,9,8,0,49,4,5.444444444444445,66,126
255954,10,8,0,57,4,5.7,60,126
255954,11,5,0,62,4,5.636363636363637,54,126
255954,12,2,1,64,5,5.333333333333333,48,126
255954,13,12,0,76,5,5.846153846153846,42,126
255954,14,7,0,83,5,5.928571428571429,36,126
255954,15,11,0,94,5,6.266666666666667,30,126
255954,16,9,1,103,6,6.4375,24,126
255954,17,5,0,108,6,6.352941176470588,18,126
255954,18,5,0,113,6,6.277777777777778,12,126
255954,19,7,2,120,8,6.315789473684211,6,126
255954,20,6,1,126,9,6.3,0,126
258463,1,9,0,9,0,9.0,114,208
258463,2,10,1,19,1,9.5,108,208
258463,3,11,0,30,1,10.0,102,208
258463,4,17,0,47,1,11.75,96,208
258463,5,10,0,57,1,11.4,90,208
258463,6,5,0,62,1,10.333333333333334,84,208
258463,7,13,0,75,1,10.714285714285714,78,208
258463,8,6,0,81,1,10.125,72,208
258463,9,7,0,88,1,9.777777777777779,66,208
258463,10,9,0,97,1,9.7,60,208
258463,11,10,1,107,2,9.727272727272727,54,208
258463,12,8,0,115,2,9.583333333333334,48,208
258463,13,9,1,124,3,9.538461538461538,42,208
258463,14,16,1,140,4,10.0,36,208
258463,15,13,0,153,4,10.2,30,208
258463,16,17,0,170,4,10.625,24,208
258463,17,17,0,187,4,11.0,18,208
258463,18,11,1,198,5,11.0,12,208
258463,19,6,2,204,7,10.736842105263158,6,208
258463,20,4,1,208,8,10.4,0,208
258464,1,7,0,7,0,7.0,114,169
258464,2,1,0,8,0,4.0,108,169
258464,3,11,0,19,0,6.333333333333333,102,169
258464,4,14,0,33,0,8.25,96,169
258464,5,11,0,44,0,8.8,90,169
258464,6,6,1,50,1,8.333333333333334,84,169
258464,7,2,0,52,1,7.428571428571429,78,169
258464,8,6,0,58,1,7.25,72,169
258464,9,6,1,64,2,7.111111111111111,66,169
258464,10,14,0,78,2,7.8,60,169
258464,11,12,0,90,2,8.181818181818182,54,169
258464,12,14,0,104,2,8.666666666666666,48,169
258464,13,9,1,113,3,8.692307692307692,42,169
258464,14,13,0,126,3,9.0,36,169
258464,15,12,1,138,4,9.2,30,169
258464,16,6,0,144,4,9.0,24,169
258464,17,3,1,147,5,8.647058823529411,18,169
258464,18,10,0,157,5,8.722222222222221,12,169
258464,19,5,2,162,7,8.526315789473685,6,169
258464,20,7,0,169,7,8.45,0,169
287853,1,8,0,8,0,8.0,114,205
287853,2,6,0,14,0,7.0,108,205
287853,3,15,0,29,0,9.666666666666666,102,205
287853,4,13,0,42,0,10.5,96,205
287853,5,4,0,46,0,9.2,90,205
287853,6,8,0,54,0,9.0,84,205
287853,7,14,0,68,0,9.714285714285714,78,205
287853,8,10,0,78,0,9.75,72,205
287853,9,15,0,93,0,10.333333333333334,66,205
287853,10,16,0,109,0,10.9,60,205
287853,11,5,0,114,0,10.363636363636363,54,205
287853,12,17,0,131,0,10.916666666666666,48,205
287853,13,14,0,145,0,11.153846153846153,42,205
287853,14,6,1,151,1,10.785714285714286,36,205
287853,15,16,1,167,2,11.133333333333333,30,205
287853,16,10,0,177,2,11.0625,24,205
287853,17,4,1,181,3,10.647058823529411,18,205
287853,18,3,1,184,4,10.222222222222221,12,205
287853,19,12,1,196,5,10.31578947368421,6,205
287853,20,9,1,205,6,10.25,0,205
287854,1,0,2,0,2,0.0,114,73
287854,2,1,2,1,4,0.5,108,73
287854,3,1,0,2,4,0.6666666666666666,102,73
287854,4,3,0,5,4,1.25,96,73
287854,5,6,0,11,4,2.2,90,73
287854,6,12,0,23,4,3.8333333333333335,84,73
287854,7,5,0,28,4,4.0,78,73
287854,8,9,0,37,4,4.625,72,73
287854,9,0,1,37,5,4.111111111111111,66,73
287854,10,1,0,38,5,3.8,60,73
287854,11,1,1,39,6,3.5454545454545454,54,73
287854,12,3,1,42,7,3.5,48,73
287854,13,4,0,46,7,3.5384615384615383,42,73
287854,14,5,1,51,8,3.642857142857143,36,73
287854,15,10,0,61,8,4.066666666666666,30,73
287854,16,9,0,70,8,4.375,24,73
287854,17,3,2,73,10,4.294117647058823,18,73
287855,1,9,0,9,0,9.0,114,171
287855,2,0,0,9,0,4.5,108,171
287855,3,2,1,11,1,3.6666666666666665,102,171
287855,4,3,0,14,1,3.5,96,171
287855,5,10,1,24,2,4.8,90,171
287855,6,14,0,38,2,6.333333333333333,84,171
287855,7,9,0,47,2,6.714285714285714,78,171
287855,8,3,1,50,3,6.25,72,171
287855,9,9,0,59,3,6.555555555555555,66,171
287855,10,8,0,67,3,6.7,60,171
287855,11,5,0,72,3,6.545454545454546,54,171
287855,12,9,0,81,3,6.75,48,171
287855,13,23,1,104,4,8.0,42,171
287855,14,10,1,114,5,8.142857142857142,36,171
287855,15,2,0,116,5,7.733333333333333,30,171
287855,16,8,1,124,6,7.75,24,171
287855,17,14,0,138,6,8.117647058823529,18,171
287855,18,8,1,146,7,8.11111111111111,12,171
287855,19,12,0,158,7,8.31578947368421,6,171
287855,20,13,2,171,9,8.55,0,171
287856,1,7,1,7,1,7.0,114,138
287856,2,4,0,11,1,5.5,108,138
287856,3,3,1,14,2,4.666666666666667,102,138
287856,4,5,1,19,3,4.75,96,138
287856,5,2,0,21,3,4.2,90,138
287856,6,1,0,22,3,3.6666666666666665,84,138
287856,7,10,0,32,3,4.571428571428571,78,138
287856,8,5,0,37,3,4.625,72,138
287856,9,11,0,48,3,5.333333333333333,66,138
287856,10,3,1,51,4,5.1,60,138
287856,11,9,0,60,4,5.454545454545454,54,138
287856,12,9,0,69,4,5.75,48,138
287856,13,9,0,78,4,6.0,42,138
287856,14,9,1,87,5,6.214285714285714,36,138
287856,15,3,0,90,5,6.0,30,138
287856,16,11,0,101,5,6.3125,24,138
287856,17,5,1,106,6,6.235294117647059,18,138
287856,18,13,0,119,6,6.611111111111111,12,138
287856,19,9,1,128,7,6.7368421052631575,6,138
287856,20,10,2,138,9,6.9,0,138
287857,1,0,1,0,1,0.0,114,164
287857,2,12,0,12,1,6.0,108,164
287857,3,4,0,16,1,5.333333333333333,102,164
287857,4,8,0,24,1,6.0,96,164
287857,5,1,0,25,1,5.0,90,164
287857,6,8,0,33,1,5.5,84,164
287857,7,5,0,38,1,5.428571428571429,78,164
287857,8,15,0,53,1,6.625,72,164
287857,9,8,0,61,1,6.777777777777778,66,164
287857,10,8,0,69,1,6.9,60,164
287857,11,12,0,81,1,7.363636363636363,54,164
287857,12,8,0,89,1,7.416666666666667,48,164
287857,13,5,0,94,1,7.230769230769231,42,164
287857,14,2,1,96,2,6.857142857142857,36,164
287857,15,6,0,102,2,6.8,30,164
287857,16,4,1,106,3,6.625,24,164
287857,17,20,1,126,4,7.411764705882353,18,164
287857,18,5,1,131,5,7.277777777777778,12,164
287857,19,24,0,155,5,8.157894736842104,6,164
287857,20,9,3,164,8,8.2,0,164
287858,1,3,0,3,0,3.0,114,188
287858,2,13,0,16,0,8.0,108,188
287858,3,4,2,20,2,6.666666666666667,102,188
287858,4,8,0,28,2,7.0,96,188
287858,5,17,0,45,2,9.0,90,188
287858,6,14,1,59,3,9.833333333333334,84,188
287858,7,7,0,66,3,9.428571428571429,78,188
287858,8,9,0,75,3,9.375,72,188
287858,9,7,0,82,3,9.11111111111111,66,188
287858,10,11,0,93,3,9.3,60,188
287858,11,8,0,101,3,9.181818181818182,54,188
287858,12,12,0,113,3,9.416666666666666,48,188
287858,13,22,0,135,3,10.384615384615385,42,188
287858,14,10,0,145,3,10.357142857142858,36,188
287858,15,8,1,153,4,10.2,30,188
287858,16,6,1,159,5,9.9375,24,188
287858,17,5,0,164,5,9.647058823529411,18,188
287858,18,8,1,172,6,9.555555555555555,12,188
287858,19,7,2,179,8,9.421052631578947,6,188
287858,20,9,1,188,9,9.4,0,188
287860,1,4,0,4,0,4.0,114,260
287860,2,9,0,13,0,6.5,108,260
287860,3,6,1,19,1,6.333333333333333,102,260
287860,4,15,0,34,1,8.5,96,260
287860,5,6,0,40,1,8.0,90,260
287860,6,13,0,53,1,8.833333333333334,84,260
287860,7,12,0,65,1,9.285714285714286,78,260
287860,8,9,0,74,1,9.25,72,260
287860,9,19,0,93,1,10.333333333333334,66,260
287860,10,8,1,101,2,10.1,60,260
287860,11,13,0,114,2,10.363636363636363,54,260
287860,12,17,0,131,2,10.916666666666666,48,260
287860,13,25,0,156,2,12.0,42,260
287860,14,19,0,175,2,12.5,36,260
287860,15,9,1,184,3,12.266666666666667,30,260
287860,16,10,1,194,4,12.125,24,260
287860,17,17,0,211,4,12.411764705882353,18,260
287860,18,4,2,215,6,11.944444444444445,12,260
287860,19,29,0,244,6,12.842105263157896,6,260
287860,20,16,0,260,6,13.0,0,260
287861,1,4,0,4,0,4.0,114,135
287861,2,8,0,12,0,6.0,108,135
287861,3,5,0,17,0,5.666666666666667,102,135
287861,4,8,0,25,0,6.25,96,135
287861,5,4,1,29,1,5.8,90,135
287861,6,6,0,35,1,5.833333333333333,84,135
287861,7,7,1,42,2,6.0,78,135
287861,8,7,1,49,3,6.125,72,135
287861,9,3,0,52,3,5.777777777777778,66,135
287861,10,12,0,64,3,6.4,60,135
287861,11,11,1,75,4,6.818181818181818,54,135
287861,12,11,0,86,4,7.166666666666667,48,135
287861,13,11,0,97,4,7.461538461538462,42,135
287861,14,3,1,100,5,7.142857142857143,36,135
287861,15,3,0,103,5,6.866666666666666,30,135
287861,16,16,0,119,5,7.4375,24,135
287861,17,8,1,127,6,7.470588235294118,18,135
287861,18,2,1,129,7,7.166666666666667,12,135
287861,19,3,2,132,9,6.947368421052632,6,135
287861,20,3,1,135,10,6.75,0,135
287862,1,1,1,1,1,1.0,114,141
287862,2,8,0,9,1,4.5,108,141
287862,3,5,1,14,2,4.666666666666667,102,141
287862,4,5,0,19,2,4.75,96,141
287862,5,9,1,28,3,5.6,90,141
287862,6,5,0,33,3,5.5,84,141
287862,7,3,1,36,4,5.142857142857143,78,141
287862,8,8,0,44,4,5.5,72,141
287862,9,3,0,47,4,5.222222222222222,66,141
287862,10,17,0,64,4,6.4,60,141
287862,11,6,0,70,4,6.363636363636363,54,141
287862,12,12,0,82,4,6.833333333333333,48,141
287862,13,2,1,84,5,6.461538461538462,42,141
287862,14,6,0,90,5,6.428571428571429,36,141
287862,15,7,0,97,5,6.466666666666667,30,141
287862,16,14,1,111,6,6.9375,24,141
287862,17,12,0,123,6,7.235294117647059,18,141
287862,18,5,1,128,7,7.111111111111111,12,141
287862,19,10,0,138,7,7.2631578947368425,6,141
287862,20,3,2,141,9,7.05,0,141
287863,1,3,0,3,0,3.0,114,164
287863,2,8,0,11,0,5.5,108,164
287863,3,8,0,19,0,6.333333333333333,102,164
287863,4,3,1,22,1,5.5,96,164
287863,5,3,0,25,1,5.0,90,164
287863,6,13,1,38,2,6.333333333333333,84,164
287863,7,13,0,51,2,7.285714285714286,78,164
287863,8,8,0,59,2,7.375,72,164
287863,9,15,0,74,2,8.222222222222221,66,164
287863,10,6,0,80,2,8.0,60,164
287863,11,15,1,95,3,8.636363636363637,54,164
287863,12,4,1,99,4,8.25,48,164
287863,13,4,1,103,5,7.923076923076923,42,164
287863,14,9,0,112,5,8.0,36,164
287863,15,6,0,118,5,7.866666666666666,30,164
287863,16,10,0,128,5,8.0,24,164
287863,17,13,0,141,5,8.294117647058824,18,164
287863,18,7,0,148,5,8.222222222222221,12,164
287863,19,6,1,154,6,8.105263157894736,6,164
287863,20,10,1,164,7,8.2,0,164
287864,1,8,0,8,0,8.0,114,144
287864,2,16,1,24,1,12.0,108,144
287864,3,15,2,39,3,13.0,102,144
287864,4,15,0,54,3,13.5,96,144
287864,5,6,1,60,4,12.0,90,144
287864,6,5,0,65,4,10.833333333333334,84,144
287864,7,11,0,76,4,10.857142857142858,78,144
287864,8,2,1,78,5,9.75,72,144
287864,9,13,0,91,5,10.11111111111111,66,144
287864,10,5,0,96,5,9.6,60,144
287864,11,5,1,101,6,9.181818181818182,54,144
287864,12,2,0,103,6,8.583333333333334,48,144
287864,13,1,0,104,6,8.0,42,144
287864,14,4,0,108,6,7.714285714285714,36,144
287864,15,11,0,119,6,7.933333333333334,30,144
287864,16,1,1,120,7,7.5,24,144
287864,17,5,0,125,7,7.352941176470588,18,144
287864,18,8,1,133,8,7.388888888888889,12,144
287864,19,5,1,138,9,7.2631578947368425,6,144
287864,20,6,1,144,10,7.2,0,144
287865,1,7,0,7,0,7.0,114,190
287865,2,4,1,11,1,5.5,108,190
287865,3,12,0,23,1,7.666666666666667,102,190
287865,4,11,0,34,1,8.5,96,190
287865,5,2,0,36,1,7.2,90,190
287865,6,12,0,48,1,8.0,84,190
287865,7,9,0,57,1,8.142857142857142,78,190
287865,8,8,0,65,1,8.125,72,190
287865,9,4,1,69,2,7.666666666666667,66,190
287865,10,8,0,77,2,7.7,60,190
287865,11,9,1,86,3,7.818181818181818,54,190
287865,12,3,1,89,4,7.416666666666667,48,190
287865,13,5,1,94,5,7.230769230769231,42,190
287865,14,10,0,104,5,7.428571428571429,36,190
287865,15,8,0,112,5,7.466666666666667,30,190
287865,16,25,0,137,5,8.5625,24,190
287865,17,8,0,145,5,8.529411764705882,18,190
287865,18,19,1,164,6,9.11111111111111,12,190
287865,19,21,0,185,6,9.736842105263158,6,190
287865,20,5,4,190,10,9.5,0,190
287866,1,2,0,2,0,2.0,114,123
287866,2,3,0,5,0,2.5,108,123
287866,3,11,0,16,0,5.333333333333333,102,123
287866,4,2,0,18,0,4.5,96,123
287866,5,7,0,25,0,5.0,90,123
287866,6,6,0,31,0,5.166666666666667,84,123
287866,7,9,1,40,1,5.714285714285714,78,123
287866,8,4,0,44,1,5.5,72,123
287866,9,13,0,57,1,6.333333333333333,66,123
287866,10,6,0,63,1,6.3,60,123
287866,11,3,1,66,2,6.0,54,123
287866,12,7,0,73,2,6.083333333333333,48,123
287866,13,9,0,82,2,6.3076923076923075,42,123
287866,14,4,1,86,3,6.142857142857143,36,123
287866,15,5,0,91,3,6.066666666666666,30,123
287866,16,12,0,103,3,6.4375,24,123
287866,17,9,3,112,6,6.588235294117647,18,123
287866,18,2,0,114,6,6.333333333333333,12,123
287866,19,5,0,119,6,6.2631578947368425,6,123
287866,20,4,2,123,8,6.15,0,123
287867,1,8,0,8,0,8.0,114,154
287867,2,10,1,18,1,9.0,108,154
287867,3,5,0,23,1,7.666666666666667,102,154
287867,4,9,0,32,1,8.0,96,154
287867,5,10,1,42,2,8.4,90,154
287867,6,1,1,43,3,7.166666666666667,84,154
287867,7,6,0,49,3,7.0,78,154
287867,8,5,0,54,3,6.75,72,154
287867,9,2,0,56,3,6.222222222222222,66,154
287867,10,12,0,68,3,6.8,60,154
287867,11,9,0,77,3,7.0,54,154
287867,12,9,0,86,3,7.166666666666667,48,154
287867,13,3,0,89,3,6.846153846153846,42,154
287867,14,2,1,91,4,6.5,36,154
287867,15,3,1,94,5,6.266666666666667,30,154
287867,16,10,1,104,6,6.5,24,154
287867,17,8,0,112,6,6.588235294117647,18,154
287867,18,21,0,133,6,7.388888888888889,12,154
287867,19,12,1,145,7,7.631578947368421,6,154
287867,20,9,1,154,8,7.7,0,154
287868,1,7,0,7,0,7.0,114,189
287868,2,10,0,17,0,8.5,108,189
287868,3,5,1,22,1,7.333333333333333,102,189
287868,4,2,1,24,2,6.0,96,189
287868,5,9,0,33,2,6.6,90,189
287868,6,0,1,33,3,5.5,84,189
287868,7,4,0,37,3,5.285714285714286,78,189
287868,8,12,0,49,3,6.125,72,189
287868,9,14,0,63,3,7.0,66,189
287868,10,6,0,69,3,6.9,60,189
287868,11,12,0,81,3,7.363636363636363,54,189
287868,12,8,0,89,3,7.416666666666667,48,189
287868,13,20,0,109,3,8.384615384615385,42,189
287868,14,12,0,121,3,8.642857142857142,36,189
287868,15,13,1,134,4,8.933333333333334,30,189
287868,16,13,0,147,4,9.1875,24,189
287868,17,11,1,158,5,9.294117647058824,18,189
287868,18,6,0,164,5,9.11111111111111,12,189
287868,19,7,1,171,6,9.0,6,189
287868,20,18,0,189,6,9.45,0,189
287869,1,7,1,7,1,7.0,114,164
287869,2,9,0,16,1,8.0,108,164
287869,3,3,1,19,2,6.333333333333333,102,164
287869,4,7,1,26,3,6.5,96,164
287869,5,3,0,29,3,5.8,90,164
287869,6,2,1,31,4,5.166666666666667,84,164
287869,7,3,0,34,4,4.857142857142857,78,164
287869,8,1,0,35,4,4.375,72,164
287869,9,5,0,40,4,4.444444444444445,66,164
287869,10,20,0,60,4,6.0,60,164
287869,11,12,0,72,4,6.545454545454546,54,164
287869,12,12,0,84,4,7.0,48,164
287869,13,8,1,92,5,7.076923076923077,42,164
287869,14,8,0,100,5,7.142857142857143,36,164
287869,15,14,0,114,5,7.6,30,164
287869,16,20,0,134,5,8.375,24,164
287869,17,6,2,140,7,8.235294117647058,18,164
287869,18,6,1,146,8,8.11111111111111,12,164
287869,19,6,0,152,8,8.0,6,164
287869,20,12,1,164,9,8.2,0,164
287870,1,8,0,8,0,8.0,114,164
287870,2,5,1,13,1,6.5,108,164
287870,3,16,0,29,1,9.666666666666666,102,164
287870,4,5,1,34,2,8.5,96,164
287870,5,8,0,42,2,8.4,90,164
287870,6,16,0,58,2,9.666666666666666,84,164
287870,7,13,0,71,2,10.142857142857142,78,164
287870,8,8,0,79,2,9.875,72,164
